Region;Parameter;Sulfur;BC;OC;Sea Salt;Dust
United States;Emissions;8.05;0.36;1.62;11.67;8.24
United States;Total mass burden;0.03;0;0.02;0.07;0.61
United States;AOD;0.07;0;0.01;0;0.03
South America;Emissions;2.25;0.27;2;43.46;20.43
South America;Total mass burden;0.01;0;0.03;0.1;0.13
South America;AOD;0.04;0;0.02;0.01;0.01
OECD Europe;Emissions;6.02;0.3;0.5;27.03;0
OECD Europe;Total mass burden;0.02;0;0.01;0.1;0.41
OECD Europe;AOD;0.1;0.01;0.01;0.02;0.05
Russia;Emissions;3.99;0.19;0.97;0.2;0
Russia;Total mass burden;0.02;0;0.01;0.05;0.63
Russia;AOD;0.14;0.01;0.02;0.01;0.06
Southern Africa;Emissions;2.55;1.4;1.14;28.71;17.73
Southern Africa;Total mass burden;0.02;0.02;0.13;0.09;0.12
Southern Africa;AOD;0.04;0.02;0.07;0.01;0.01
South Asia;Emissions;3.33;0.55;1.93;14.21;16.36
South Asia;Total mass burden;0.01;0.01;0.02;0.05;0.59
South Asia;AOD;0.08;0.01;0.03;0.01;0.06
East Asia;Emissions;16.16;1.72;4.43;18.29;281.2
East Asia;Total mass burden;0.08;0.02;0.06;0.31;3.84
East Asia;AOD;0.11;0.01;0.02;0.01;0.08
Southeast Asia;Emissions;2.48;0.59;3.46;56;0
Southeast Asia;Total mass burden;0.02;0.01;0.04;0.13;0.12
Southeast Asia;AOD;0.05;0.01;0.02;0.01;0.01